1uM,,250nM,,500nM,,750nM,,100nM,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
677,0.0135559808140541,677,-0.0146814990206117,677,0.0110606908808411,677,-0.0116161932628148,677,0.0166221604111045
676,0.0136061656222277,676,-0.0146469123902422,676,0.0111818457751921,676,-0.0116687630526795,676,0.016694839296677
675,0.0135757442293887,675,-0.0147254916368881,675,0.0111560291412018,675,-0.011700362347368,675,0.0166958077133091
674,0.013726964120927,674,-0.0145882940250051,674,0.011252796301918,674,-0.0116693174460853,674,0.0167360527139786
673,0.0136837377990116,673,-0.0146287420437574,673,0.0112320226152011,673,-0.0115859488894856,673,0.0167258566023867
672,0.0137382389370498,672,-0.0146102705817568,672,0.0112734912821926,672,-0.0115335203191167,672,0.01681886799703
671,0.0135463130925154,671,-0.0146900576602951,671,0.0111804645995389,671,-0.0116462843239672,671,0.0167206644792351
670,0.0136019722044049,670,-0.0147720819152286,670,0.0111663078023436,670,-0.0116996064102236,670,0.0166735615762029
669,0.0136332502005328,669,-0.0146682853509397,669,0.0112790703288177,669,-0.0116357501695594,669,0.0167859606185203
668,0.0135408116674972,668,-0.0145887445806146,668,0.0111710089765007,668,-0.0116813123301082,668,0.0168026965206934
667,0.0134345623765561,667,-0.0147271431500284,667,0.0110863425162399,667,-0.0117526700020619,667,0.0165773541021149
666,0.0134472714030473,666,-0.0146881057046881,666,0.0112021389392438,666,-0.0117817438836397,666,0.0166188522242383
665,0.0137355404354564,665,-0.0145253117637808,665,0.0113500898849636,665,-0.0116839834146425,665,0.0166513703740421
664,0.0135984198502849,664,-0.0146150762409755,664,0.0113637478014613,664,-0.011641092882675,664,0.0167598086993731
663,0.013594627143372,663,-0.0146439591349771,663,0.0111433604284489,663,-0.0116951715524737,663,0.0166453722195197
662,0.0134263924844855,662,-0.0147716815904093,662,0.0111106678268311,662,-0.0119055758097981,662,0.0165475037249437
661,0.0135322926080161,661,-0.0146792967702519,661,0.0111883001734889,661,-0.0117725230886286,661,0.0166160819733222
660,0.0136298311468032,660,-0.014658575049529,660,0.0112397528607983,660,-0.0116562134126191,660,0.0167032861144711
659,0.0132611320162152,659,-0.0147021195503351,659,0.0109901965188994,659,-0.0118079943646119,659,0.0164304616361344
658,0.013388001389586,658,-0.0145194035791214,658,0.011147716086744,658,-0.0116240564548928,658,0.0166091160806542
657,0.013495173891681,657,-0.0146822497852274,657,0.011168963826687,657,-0.011728331096747,657,0.0166724856129722
656,0.0134531721489136,656,-0.0146391537953514,656,0.0112843040710426,656,-0.0115981477068336,656,0.0166477122968548
655,0.0134266594719932,655,-0.0146779954352447,655,0.0112339352404766,655,-0.011655406997645,655,0.0165696627276354
654,0.0134601944079742,654,-0.0147304962028423,654,0.011192842214978,654,-0.0117529219504704,654,0.016527577723198
653,0.0134943193974395,653,-0.0147203869202027,653,0.0112722426482392,653,-0.0116894263285081,653,0.0165401893508944
652,0.0135383280372874,652,-0.0146029618730932,652,0.0113088530235142,652,-0.0116466875401112,652,0.0167161987649355
651,0.0136006901484392,651,-0.0145835881940358,651,0.011462767254376,651,-0.0116186127216946,651,0.016770140133575
650,0.013362427008133,650,-0.0146765939931837,650,0.0111710886578572,650,-0.0117608834448946,650,0.016560734449775
649,0.0133695011905325,649,-0.0146681852458472,649,0.0112397528607983,649,-0.0116423025444438,649,0.0167169789165329
648,0.0134688722613862,648,-0.0147398045421298,648,0.0112708080519586,648,-0.0116514757032031,648,0.0166482771449972
647,0.0135751566554205,647,-0.0146479134891643,647,0.0114308744666573,647,-0.0116539453666879,647,0.0167679877311817
646,0.0136249697261267,646,-0.0146567230601742,646,0.0114748605487875,646,-0.0115780850074081,646,0.0167990640755518
645,0.0137657325475523,645,-0.0144363299985273,645,0.0115272775769783,645,-0.0114380739906685,645,0.0168946209485145
644,0.0137692328308341,644,-0.0145132449620969,644,0.0115420841410878,644,-0.0115153704930962,644,0.0168800344507569
643,0.0137761533212657,643,-0.0144497009605995,643,0.0115233168402013,643,-0.0115589792134956,643,0.0168768857692225
642,0.0136572110432827,642,-0.0145334729375132,642,0.0114866883822453,642,-0.0115190509357941,642,0.0167796915478952
641,0.0136388329320581,641,-0.0144887598403556,641,0.0113610905856097,641,-0.0115342261303621,641,0.0168405295702217
640,0.0136940764598274,640,-0.0145253117637808,640,0.0115863473472842,640,-0.0114778584488518,640,0.016955448157373
639,0.0137651714360621,639,-0.0144390342712572,639,0.0117286582000117,639,-0.0115450652304172,639,0.0170971332225028
638,0.0136923934052483,638,-0.0145096899482857,638,0.0114248682537095,638,-0.0114104395478399,638,0.0168066787917601
637,0.0137712101025617,637,-0.0145139960176293,637,0.0115550303298151,637,-0.0115502074065287,637,0.0170505548443629
636,0.0136729719616081,636,-0.0142592636508172,636,0.0116382194637068,636,-0.0113124441300354,636,0.0169922446797997
635,0.0136333303349274,635,-0.0146716388582055,635,0.0115570507144088,635,-0.0115543412686668,635,0.0167853686852362
634,0.013571470982298,634,-0.0145201546240034,634,0.01155194660303,634,-0.0115416370791842,634,0.0167673689174679
633,0.0137580106483243,633,-0.0144451438624653,633,0.0116589594090457,633,-0.0114308125555736,633,0.0169007571124156
632,0.013627667540771,632,-0.0143907554620365,632,0.0116612993624906,632,-0.0113728175711673,632,0.0168789579758693
631,0.0136611378626525,631,-0.0144893607187615,631,0.0115671261936781,631,-0.0114498231389115,631,0.0168987117148154
630,0.0137918383931156,630,-0.0143004436538963,630,0.0117532588797149,630,-0.0113552662580952,630,0.0169991628818624
